Question Text,Option A,Option B,Option C,Option D,Correct Option
పెంతెకొస్తు పండుగ దినమున శిష్యులందరూ ఎక్కడ ఉన్నారు?,దేవాలయంలో,సముద్ర తీరంలో,ఒకచోట కూడి ఉన్నారు,కొండ మీద,ఒకచోట కూడి ఉన్నారు
పరలోకమునుండి వచ్చిన శబ్దము దేనివలె ఉండెను?,ఉరుము,గొప్ప గాలి వీచినట్టు,వర్షం,సముద్ర అలలు,గొప్ప గాలి వీచినట్టు
శిష్యుల మీద ఏమి కనిపించాయి?,నక్షత్రాలు,మేఘాలు,అగ్ని నాలుకలు,పావురాలు,అగ్ని నాలుకలు
శిష్యులందరూ దేనితో నింపబడ్డారు?,జ్ఞానంతో,ఆనందంతో,పరిశుద్ధాత్మతో,ధైర్యంతో,పరిశుద్ధాత్మతో
పరిశుద్ధాత్మ ఇచ్చినట్లుగా వారు ఏమి మాట్లాడసాగారు?,హెబ్రీ భాష,గ్రీకు భాష,ఇతర భాషలు,అరామిక్ భాష,ఇతర భాషలు
"""వీరు త్రాగి మత్తులో ఉన్నారు"" అని కొందరు ఏ సమయములో అన్నారు?",మొదటి గంట,మూడవ గంట,ఆరవ గంట,తొమ్మిదవ గంట,మూడవ గంట
అప్పుడు లేచి ప్రసంగించిన అపొస్తలుడు ఎవరు?,యోహాను,యాకోబు,పేతురు,మత్తీయ,పేతురు
పేతురు ఏ ప్రవక్త మాటలను ఉటంకించాడు?,యెషయా,యిర్మీయా,యోవేలు,హోషేయ,యోవేలు
"""చివరి దినములలో నా ఆత్మను కుమ్మరించెదను"" అని ఎవరు చెప్పారు?",మోషే,దావీదు,యోవేలు ప్రవక్త ద్వారా దేవుడు,పేతురు,యోవేలు ప్రవక్త ద్వారా దేవుడు
యేసును దేవుడు దేనినుండి లేపాడు?,చెరనుండి,మరణమునుండి,కొండమీదనుండి,సముద్రమునుండి,మరణమునుండి
"""మీరు సిలువ వేసిన ఈ యేసునే దేవుడు ప్రభువుగాను క్రీస్తుగాను చేసెను"" అని ఎవరు చెప్పారు?",యోహాను,పేతురు,మత్తీయ,థోమా,పేతురు
పేతురు ప్రసంగం విని ప్రజలు ఏమని అడిగారు?,మేము ఎక్కడికి వెళ్లాలి?,మేము ఏమి తినాలి?,"సహోదరులారా, మేమేమి చేయవలెను?",మేము ఎవరిని అనుసరించాలి?,"సహోదరులారా, మేమేమి చేయవలెను?"
పేతురు వారికి మొదట ఏమి చేయమని చెప్పాడు?,ఉపవాసం చేయండి,పశ్చాత్తాపపడండి,దానం చేయండి,ప్రార్థించండి,పశ్చాత్తాపపడండి
వారు ఎవరి నామమున బాప్తిస్మము పొందాలి?,అబ్రాహాము,మోషే,యోహాను,యేసు క్రీస్తు,యేసు క్రీస్తు
ఆ దినమున సుమారు ఎంతమంది చేరారు?,1000 మంది,2000 మంది,3000 మంది,5000 మంది,3000 మంది
విశ్వాసులు అపొస్తలుల దేనిలో నిలిచియుండిరి?,ప్రయాణాలలో,బోధలో,వ్యాపారంలో,రాజకీయాలలో,బోధలో
"వారు రొట్టె విరుచుటలోను, ప్రార్థనలలోను కొనసాగారు. ఇది ఏ విషయాన్ని చూపిస్తుంది?",ఐక్యత,సంపద,బలం,విద్య,ఐక్యత
విశ్వాసులు తమ ఆస్తులను ఏమి చేశారు?,దాచుకున్నారు,అమ్మి అవసరమైన వారికి పంచారు,దేవాలయానికి ఇచ్చారు,విదేశాలకు పంపారు,అమ్మి అవసరమైన వారికి పంచారు
వారు ప్రతిదినము ఎక్కడ కూడుకొనేవారు?,మార్కెట్‌లో,సముద్రతీరంలో,దేవాలయంలో,కొండపై,దేవాలయంలో
ప్రభువు ప్రతిదినము ఎవరిని సంఘములో చేర్చుచుండెను?,ధనవంతులను,యాజకులను,రక్షింపబడువారిని,విదేశీయులను,రక్షింపబడువారిని
